;Time;E;S;ES;P
647;62.672954498258186;109;404;1;105
648;62.733053971468635;110;404;0;106
649;62.827235941806116;109;403;1;106
650;62.96631244745267;108;402;2;106
651;62.96762757197504;109;403;1;106
652;63.02159281535347;108;402;2;106
653;63.098058353399075;107;401;3;106
654;63.22802480104789;108;401;2;107
655;63.344799757284136;109;401;1;108
656;63.42800763019787;108;400;2;108
657;63.592586609831834;109;400;1;109
658;63.936527235748294;108;399;2;109
659;63.974637290342784;107;398;3;109
660;64.04803374332069;108;398;2;110
661;64.08411677269292;109;399;1;110
662;64.31832638252392;110;400;0;110
663;64.39394310940206;109;399;1;110
664;64.58721456116982;108;398;2;110
665;64.82336525371228;107;397;3;110
666;64.8287779180569;106;396;4;110
667;65.26362047895097;107;396;3;111
668;65.27430927540236;108;396;2;112
669;65.344437842653;109;397;1;112
670;65.46987858797897;108;396;2;112
671;65.69203553976179;109;396;1;113
672;65.88655880051195;108;395;2;113
673;65.97659454883052;109;396;1;113
674;66.1495076468588;108;395;2;113
675;66.5992317603315;109;396;1;113
676;66.75833453886254;108;395;2;113
677;66.81837706721103;107;394;3;113
678;66.83821517360681;108;395;2;113
679;66.92713445434758;109;396;1;113
680;67.17199499997984;108;395;2;113
681;67.25293417315054;107;394;3;113
682;67.26581657121845;108;394;2;114
683;67.27567416876258;109;395;1;114
684;67.46425912615753;110;396;0;114
685;67.6089446904706;109;395;1;114
686;67.67023734772303;108;394;2;114
687;67.69250781476154;109;394;1;115
688;67.8824705708736;108;393;2;115
689;67.89574573958701;109;394;1;115
690;67.9112358503193;110;394;0;116
691;68.18280407381964;109;393;1;116
692;68.68291720079623;108;392;2;116
693;68.68737097971433;107;391;3;116
694;68.68905577597512;106;390;4;116
695;68.70212223816303;107;391;3;116
696;68.71799622656049;106;390;4;116
697;68.75159297878629;105;389;5;116
698;68.80586367833577;106;389;4;117
699;68.90120560560635;107;389;3;118
700;68.99964522679905;106;388;4;118
701;69.05820984730248;107;388;3;119
702;69.06500250571345;108;388;2;120
703;69.1142299181344;109;389;1;120
704;69.11506414516033;110;390;0;120
705;69.13713278786055;109;389;1;120
706;69.25035428919954;108;388;2;120
707;69.26494227380896;109;389;1;120
708;69.38026654665718;110;390;0;120
709;69.4283389562877;109;389;1;120
710;69.50270524773623;110;390;0;120
711;69.67455684356264;109;389;1;120
712;69.82892617848842;108;388;2;120
713;69.89252785986139;109;388;1;121
714;70.50492058814058;108;387;2;121
715;70.58381412406202;107;386;3;121
716;70.63664624463135;106;385;4;121
717;70.66507622347527;107;386;3;121
718;70.68498143294539;108;386;2;122
719;70.76022105820691;109;386;1;123
720;70.91520191027716;110;386;0;124
721;71.33987926618134;109;385;1;124
722;71.34874212601213;110;385;0;125
723;72.12278485413309;109;384;1;125
724;72.35722469503997;110;385;0;125
725;72.4455480129679;109;384;1;125
726;72.60567396853278;110;385;0;125
727;73.25640274279566;109;384;1;125
728;73.84546168565907;110;385;0;125
729;73.96856414912945;109;384;1;125
730;74.11676517472436;110;385;0;125
731;74.21878706229003;109;384;1;125
732;74.25739406718482;110;385;0;125
733;74.54222284000349;109;384;1;125
734;74.64134951303033;110;385;0;125
735;74.8810759441067;109;384;1;125
736;74.9660564253945;110;384;0;126
737;74.96727025091953;109;383;1;126
738;75.11994944099159;110;383;0;127
739;75.49445635885;109;382;1;127
740;75.58977780148619;108;381;2;127
741;75.60380610699613;107;380;3;127
742;75.77357427981515;106;379;4;127
743;75.80316151933586;107;380;3;127
744;75.80448697419335;108;381;2;127
745;75.82810937846962;109;381;1;128
746;76.0113582490921;110;382;0;128
747;77.10536200196402;109;381;1;128
748;77.13951211346394;108;380;2;128
749;77.34595050719875;109;381;1;128
750;77.4229659912007;108;380;2;128
751;77.4390032756634;109;380;1;129
752;78.03852640138138;110;381;0;129
753;78.13447479028567;109;380;1;129
754;78.2474108184692;108;379;2;129
755;78.25913354416049;109;380;1;129
756;78.29022516801099;108;379;2;129
757;78.34865771357653;109;380;1;129
